service_id,booking_id,hotel_id,employee_id,service_name,service_date,quantity,unit_price,total_price
SER000039,BOOK000822,HOT0165,EMP00274,Gym,2025-02-01,2,1000,2000
SER000040,BOOK001075,HOT0160,EMP00466,Gym,2025-11-22,1,1000,1000
SER000041,BOOK001943,HOT0205,EMP00084,Lunch,2025-02-07,3,1000,3000
SER000042,BOOK004033,HOT0058,EMP00257,Room Cleaning,2026-04-16,1,500,500
SER000043,BOOK003900,HOT0134,EMP00710,Room Cleaning,2026-02-19,3,2000,6000
SER000044,BOOK004491,HOT0195,EMP00114,Mini Bar,2024-09-06,4,750,3000
SER000045,BOOK000460,HOT0166,EMP00050,Dinner,2025-07-25,3,250,750
SER000046,BOOK003528,HOT0125,EMP00373,Airport Pickup,2026-03-16,2,1000,2000
SER000047,BOOK001218,HOT0133,EMP00601,Gym,2025-11-09,2,1000,2000
SER000048,BOOK000282,HOT0118,EMP00443,Dinner,2025-03-23,2,500,1000
SER000049,BOOK003608,HOT0173,EMP00521,Lunch,2026-02-09,1,2000,2000
SER000050,BOOK004163,HOT0150,EMP00243,Mini Bar,2024-12-24,4,500,2000
SER000051,BOOK004451,HOT0060,EMP00091,Breakfast,2024-12-30,4,500,2000
SER000052,BOOK003146,HOT0167,EMP00169,Airport Pickup,2026-07-11,3,1000,3000
SER000053,BOOK000461,HOT0125,,Gym,2024-12-15,3,2000,6000
SER000054,BOOK004188,HOT0033,EMP00625,Gym,2026-07-18,3,250,750
SER000055,BOOK004147,HOT0061,EMP00537,Breakfast,2026-08-25,3,250,750
SER000056,BOOK004631,HOT0079,EMP00192,Dinner,2025-11-13,1,750,750
SER000057,BOOK000181,HOT0062,EMP00150,Dinner,2026-09-14,1,250,250
SER000058,BOOK002401,HOT0107,EMP00387,Breakfast,2025-08-28,2,750,1748
SER000059,BOOK002615,HOT0025,EMP00417,Airport Pickup,2025-09-15,4,1500,6000
SER000060,BOOK004354,HOT0192,EMP00461,Spa,2025-12-27,4,750,3000
SER000061,BOOK002980,HOT0046,EMP00386,Airport Pickup,2025-07-16,4,500,2000
SER000062,BOOK003858,HOT0097,EMP00445,Swimming Pool,2026-05-11,2,250,500
SER000063,BOOK003240,HOT0243,EMP00318,Laundry,2026-08-19,2,750,1500
SER000064,BOOK004315,HOT0016,EMP00286,Airport Pickup,2025-06-26,2,500,1000
SER000065,BOOK001010,HOT0036,EMP00403,Airport Pickup,2025-01-02,4,250,1000
SER000066,BOOK002286,HOT0160,EMP00538,Swimming Pool,2025-08-28,4,250,1000
SER000067,BOOK004017,HOT0196,EMP00148,Breakfast,2024-10-31,3,750,2250
SER000068,BOOK002493,HOT0016,EMP00795,Breakfast,2025-05-20,2,2000,4000
SER000069,BOOK002423,HOT0159,EMP00264,Dinner,2025-05-06,1,250,250
SER000070,BOOK004732,HOT0074,EMP00612,Gym,2026-06-29,4,500,2000
SER000071,BOOK004569,HOT0035,EMP00294,Room Cleaning,2025-04-06,3,500,1500
SER000072,BOOK000412,HOT0193,EMP00097,Room Cleaning,2025-05-28,3,750,2250
SER000073,BOOK004776,HOT0022,EMP00441,Spa,2026-04-16,2,1000,2000
SER000074,BOOK003409,HOT0159,EMP00629,Airport Pickup,2024-09-14,1,750,750
SER000075,BOOK003687,HOT0177,EMP00740,Spa,2025-02-10,1,1500,1500
SER000076,BOOK001331,HOT0080,EMP00512,Swimming Pool,2025-10-19,3,250,750
SER000077,BOOK004942,HOT0068,EMP00149,Gym,2025-09-17,3,1500,4500
SER000078,BOOK003363,HOT0063,EMP00433,Room Cleaning,2025-04-11,1,750,750
SER000079,BOOK001546,HOT0214,EMP00667,Swimming Pool,2026-03-26,4,500,2000
SER000080,BOOK001698,HOT0045,EMP00496,Mini Bar,2024-12-02,2,500,1000
SER000081,BOOK001049,HOT0166,EMP00600,Laundry,2026-07-25,3,2000,6000
SER000082,BOOK004846,HOT0031,EMP00742,Lunch,2025-05-07,3,1500,4500
SER000083,BOOK002165,HOT0059,EMP00304,Dinner,2025-08-02,2,1500,3000
SER000084,BOOK000164,HOT0186,EMP00637,Breakfast,2025-04-07,2,1000,2000
SER000085,BOOK001475,HOT0076,EMP00238,Laundry,2024-10-05,1,250,250
SER000086,BOOK000082,HOT0205,EMP00342,Lunch,2025-05-21,2,250,500
SER000087,BOOK002556,HOT0085,EMP00500,Room Cleaning,2026-08-04,3,500,1500
SER000088,BOOK001657,HOT0066,EMP00632,Airport Pickup,2026-04-01,3,1000,3000
SER000089,BOOK000705,HOT0039,EMP00668,Dinner,2025-04-06,1,1500,1500
SER000090,BOOK002163,HOT0089,EMP00456,Dinner,2025-03-12,1,750,750
SER000091,BOOK004145,HOT0141,EMP00449,Lunch,2025-07-03,4,1500,6000
SER000092,BOOK000417,HOT0103,EMP00176,Breakfast,2025-12-01,3,500,1500
SER000093,BOOK000857,HOT0027,EMP00005,Airport Pickup,2025-07-30,2,2000,4000
SER000094,BOOK000497,HOT0143,EMP00212,Spa,2025-11-26,1,1500,1500
SER000095,BOOK000858,HOT0040,EMP00679,Mini Bar,2024-08-28,3,250,750
SER000096,BOOK000793,HOT0086,EMP00362,Spa,2024-11-14,3,2000,6000
SER000097,BOOK004520,HOT0144,EMP00592,Airport Pickup,2024-09-09,4,2000,8000
SER000098,BOOK002589,HOT0155,EMP00071,Spa,2026-08-08,1,750,750
SER000099,BOOK002860,HOT0194,EMP00087,Laundry,2025-07-08,3,1500,4500
SER000100,BOOK000354,HOT0230,EMP00067,Gym,2024-08-23,2,500,1000
SER000101,BOOK003894,HOT0099,EMP00598,Swimming Pool,2024-10-15,1,1000,1000
SER000102,BOOK003621,HOT0234,EMP00046,Airport Pickup,2025-03-16,4,500,2000
SER000103,BOOK002113,HOT0120,EMP00078,Lunch,2025-11-21,3,750,2250
SER000104,BOOK001313,HOT0170,EMP00442,Mini Bar,2025-06-30,3,2000,6000
SER000105,BOOK003817,HOT0019,EMP00384,Airport Pickup,2024-10-29,3,1500,4500
SER000106,BOOK001589,HOT0172,EMP00782,Swimming Pool,2026-07-06,2,500,1000
SER000107,BOOK000924,HOT0187,EMP00148,Mini Bar,2025-10-24,2,2000,4000
SER000108,BOOK003566,HOT0111,EMP00311,Spa,2025-03-03,4,1000,4000
SER000109,BOOK003218,HOT0091,EMP00325,Spa,2025-10-01,3,1500,4500
SER000110,BOOK000561,HOT0125,EMP00181,Dinner,2025-01-01,1,750,750
SER000111,BOOK004109,HOT0175,EMP00264,Swimming Pool,2025-01-31,4,2000,8000
SER000112,BOOK000643,HOT0247,EMP00223,Laundry,2024-09-25,3,1000,3000
SER000113,BOOK002737,HOT0107,EMP00306,Breakfast,2024-08-07,2,750,1500
SER000114,BOOK004979,HOT0231,EMP00414,Gym,2024-12-23,2,500,1000
SER000115,BOOK002056,HOT0115,EMP00620,Breakfast,2026-05-06,4,750,3000
SER000116,BOOK001253,HOT0063,EMP00597,Airport Pickup,2026-05-03,2,500,1000
SER000117,BOOK003208,HOT0102,EMP00126,Dinner,2026-02-08,4,1500,6000
SER000118,BOOK000313,HOT0028,EMP00659,Gym,2024-12-09,4,750,3000
SER000119,BOOK003439,HOT0159,EMP00535,Gym,2025-01-14,2,1500,3000
SER000120,BOOK002877,HOT0134,EMP00786,Breakfast,2025-07-06,2,750,1500
SER000121,BOOK000869,HOT0157,EMP00343,Lunch,2026-09-06,1,250,250
SER000122,BOOK003576,HOT0092,EMP00688,Airport Pickup,2025-03-18,3,250,750
SER000123,BOOK000059,HOT0196,EMP00658,Spa,2026-07-11,2,750,1500
SER000124,BOOK002510,HOT0142,EMP00315,Swimming Pool,2025-06-08,3,250,750
SER000125,BOOK002568,HOT0035,EMP00637,Lunch,2026-04-29,1,500,500
SER000126,BOOK004497,HOT0244,EMP00225,Mini Bar,2025-05-03,3,250,750
SER000127,BOOK004853,HOT0173,EMP00596,Lunch,2025-08-15,4,750,3000
SER000128,BOOK003749,HOT0105,EMP00695,Spa,2024-11-01,4,1000,4000
SER000129,BOOK002085,HOT0119,EMP00528,Room Cleaning,2024-12-20,1,1500,1500
SER000130,BOOK000607,HOT0027,EMP00216,Swimming Pool,2025-12-17,2,750,1500
SER000131,BOOK003770,HOT0123,EMP00702,Gym,2024-08-07,3,1500,4500
SER000132,BOOK002853,HOT0087,EMP00150,Room Cleaning,2024-10-21,4,1500,6000
SER000133,BOOK004627,HOT0155,EMP00531,Swimming Pool,2025-11-21,3,750,2250
SER000134,BOOK004242,HOT0210,EMP00194,Breakfast,2025-12-27,1,2000,2000
SER000135,BOOK001506,HOT0095,,Airport Pickup,2025-07-04,3,1000,3000
SER000136,BOOK000261,HOT0078,EMP00678,Swimming Pool,2024-11-12,2,2000,4000
SER000137,BOOK001458,HOT0057,EMP00567,Room Cleaning,2025-12-21,3,1000,3000
SER000138,BOOK001011,HOT0161,EMP00328,Breakfast,2025-10-31,3,2000,6000
SER000139,BOOK000295,HOT0069,EMP00426,Laundry,2026-07-16,3,1000,3000
SER000140,BOOK003382,HOT0056,EMP00049,Spa,2024-12-20,2,1500,3000
SER000141,BOOK000053,HOT0232,EMP00035,Swimming Pool,2026-05-02,1,750,750
SER000142,BOOK001534,HOT0206,EMP00541,Breakfast,2025-10-12,4,250,1000
SER000143,BOOK002114,HOT0206,EMP00435,Room Cleaning,2025-05-05,1,750,750
SER000144,BOOK000241,HOT0024,EMP00356,Dinner,2025-07-28,2,2000,4000
SER000145,BOOK002466,HOT0245,EMP00778,Dinner,2025-08-26,3,2000,6000
SER000146,BOOK001663,HOT0086,EMP00682,Gym,2025-08-01,1,750,750
SER000147,BOOK000363,HOT0220,EMP00683,Laundry,2024-12-29,2,750,1500
SER000148,BOOK004673,HOT0141,EMP00730,Dinner,2026-02-07,4,1500,6000
SER000149,BOOK001428,HOT0026,EMP00099,Mini Bar,2026-02-10,1,500,500
SER000150,BOOK002084,HOT0173,EMP00599,Laundry,2024-09-07,4,2000,8000
SER000151,BOOK003685,HOT0161,EMP00260,Spa,2026-06-09,3,2000,6000
SER000152,BOOK002610,HOT0191,EMP00424,Spa,2024-11-14,3,1500,4500
SER000153,BOOK000353,HOT0045,EMP00096,Breakfast,2024-12-24,3,2000,6000
SER000154,BOOK004647,HOT0079,EMP00488,Room Cleaning,2026-07-27,1,1500,1500
SER000155,BOOK004931,HOT0077,EMP00141,Spa,2025-07-15,1,750,750
SER000156,BOOK000751,HOT0179,EMP00569,Spa,2026-07-23,1,2000,2000
SER000157,BOOK004142,HOT0202,EMP00317,Breakfast,2026-09-14,3,1000,3000
SER000158,BOOK004243,HOT0097,EMP00685,Dinner,2026-05-28,4,750,3000
SER000159,BOOK001016,HOT0028,EMP00328,Lunch,2025-08-22,4,1000,4000
SER000160,BOOK002446,HOT0025,EMP00028,Spa,2026-08-05,1,250,250
SER000161,BOOK004265,HOT0072,EMP00467,Gym,2026-03-31,4,2000,8000
SER000162,BOOK004178,HOT0090,EMP00373,Room Cleaning,2026-06-09,3,500,1500
SER000163,BOOK001276,HOT0183,EMP00245,Lunch,2025-05-30,2,1000,2000
SER000164,BOOK003425,HOT0246,EMP00126,Gym,2025-12-07,-1,1500,1500
SER000165,BOOK000638,HOT0207,EMP00695,Spa,2024-10-16,4,500,2000
SER000166,BOOK000676,HOT0136,EMP00037,Gym,2025-05-19,1,250,250
SER000167,BOOK002759,HOT0020,EMP00076,Laundry,2024-10-13,4,1500,6000
SER000168,BOOK000284,HOT0094,EMP00260,Mini Bar,2025-10-18,3,1500,4500
SER000169,BOOK002609,HOT0087,EMP00403,Spa,2026-03-23,3,500,1500
SER000170,BOOK002393,HOT0057,EMP00555,Swimming Pool,2025-04-14,4,250,1000
SER000171,BOOK002512,HOT0130,EMP00435,Mini Bar,2025-01-12,2,500,1000
SER000172,BOOK000091,HOT0181,EMP00742,Room Cleaning,2025-05-18,1,1000,1000
SER000173,BOOK001709,HOT0077,EMP00692,Dinner,2026-03-01,3,750,2250
SER000174,BOOK001057,HOT0007,EMP00302,Room Cleaning,2026-05-06,1,2000,2000
SER000175,BOOK001044,HOT0234,EMP00488,Gym,2026-01-18,1,2000,2000
SER000176,BOOK002703,HOT0238,EMP00277,Airport Pickup,2026-01-16,2,1000,2000
SER000177,BOOK001580,HOT0168,EMP00351,Breakfast,2025-03-22,1,250,250
SER000178,BOOK002663,HOT0190,EMP00726,Swimming Pool,2026-06-01,2,250,500
SER000179,BOOK003177,HOT0017,EMP00533,Airport Pickup,2025-07-06,4,1500,6000
SER000180,BOOK003772,HOT0225,EMP00547,Spa,2025-09-05,4,2000,8000
SER000181,BOOK004914,HOT0228,EMP00018,Mini Bar,2024-11-18,3,500,1500
SER000182,BOOK004213,HOT0006,EMP00170,Airport Pickup,2025-02-07,3,250,750
SER000183,BOOK002713,HOT0226,EMP00133,Mini Bar,2024-09-27,2,1500,3000
SER000184,BOOK003783,HOT0034,EMP00021,Airport Pickup,2025-09-05,1,500,500
SER000185,BOOK002057,HOT0222,EMP00393,Spa,2024-09-17,1,1000,1000
SER000186,BOOK002035,HOT0186,EMP00656,Breakfast,2024-10-15,3,750,2250
SER000187,BOOK004429,HOT0168,EMP00584,Swimming Pool,2025-06-05,1,1000,1000
SER000188,BOOK004396,HOT0036,EMP00143,Breakfast,2026-07-24,2,750,1500
SER000189,BOOK003141,HOT0055,EMP00488,Airport Pickup,2024-12-10,1,250,250
SER000190,BOOK001007,HOT0127,EMP00153,Airport Pickup,2025-01-11,1,1500,1500
SER000191,BOOK003014,HOT0048,EMP00437,Swimming Pool,2026-01-31,4,250,1000
SER000192,BOOK004624,HOT0073,EMP00344,Swimming Pool,2026-08-10,1,2000,2000
SER000193,BOOK002786,HOT0088,EMP00790,Lunch,2025-03-01,1,750,750
SER000194,BOOK000145,HOT0032,EMP00355,Laundry,2024-12-17,2,250,500
SER000195,BOOK004894,HOT0052,EMP00364,Lunch,2025-10-28,3,750,2250
SER000196,BOOK002661,HOT0232,EMP00582,Airport Pickup,2025-01-30,4,750,3000
SER000197,BOOK004649,HOT0200,EMP00439,Breakfast,2026-02-22,4,2000,8000
SER000198,BOOK002721,HOT0087,EMP00566,Airport Pickup,2024-12-13,1,1500,1500
SER000199,BOOK000404,HOT0074,EMP00125,Laundry,2024-11-19,4,250,1000
SER000200,BOOK003833,HOT0067,EMP00541,Swimming Pool,2025-04-07,1,750,750
SER000201,BOOK004548,HOT0139,EMP00335,Spa,2026-03-26,2,1500,3000
SER000202,BOOK003329,HOT0134,EMP00313,Gym,2024-12-06,2,2000,4000
SER000203,BOOK001499,HOT0089,EMP00179,Room Cleaning,2025-03-07,3,1500,4734
SER000204,BOOK000797,HOT0134,EMP00497,Swimming Pool,2025-07-31,-1,250,250
SER000205,BOOK003547,HOT0035,EMP00264,Lunch,2025-07-14,3,250,750
SER000206,BOOK003477,HOT0165,EMP00513,Swimming Pool,2026-02-17,1,1500,1500
SER000207,BOOK000303,HOT0030,EMP00092,Lunch,2024-11-15,2,2000,4000
SER000208,BOOK001823,HOT0172,EMP00337,Spa,2024-10-22,2,750,1500
SER000209,BOOK001686,HOT0105,EMP00768,Room Cleaning,2025-02-15,4,1500,6000
SER000210,BOOK003034,HOT0023,EMP00771,Dinner,2025-11-09,1,250,250
SER000211,BOOK000746,HOT0213,EMP00145,Mini Bar,2025-12-16,4,500,2000
SER000212,BOOK002651,HOT0018,EMP00504,Swimming Pool,2025-08-04,2,500,1000
SER000213,BOOK004898,HOT0129,EMP00059,Airport Pickup,2026-07-21,1,250,250
SER000214,BOOK002111,HOT0103,EMP00786,Breakfast,2025-02-06,1,1500,1500
SER000215,BOOK002692,HOT0006,EMP00135,Breakfast,2026-04-23,4,2000,8000
SER000216,BOOK001806,HOT0177,EMP00449,Room Cleaning,2025-04-21,3,250,750
SER000217,BOOK004851,HOT0008,EMP00121,Airport Pickup,2026-02-19,1,250,250
SER000218,BOOK001457,HOT0012,EMP00203,Dinner,2024-11-19,2,250,500
SER000219,BOOK003447,HOT0167,EMP00515,Breakfast,2025-05-02,3,750,2250
SER000220,BOOK003085,HOT0003,EMP00731,Mini Bar,2025-04-13,1,2000,2000
SER000221,BOOK001556,HOT0022,EMP00482,Breakfast,2025-09-12,4,1000,4000
SER000222,BOOK003301,HOT0101,EMP00661,Lunch,2025-02-07,4,2000,8000
SER000223,BOOK004783,HOT0016,EMP00152,Lunch,2025-01-14,2,250,500
SER000224,BOOK000605,HOT0087,EMP00461,Room Cleaning,2026-04-26,1,1500,1500
SER000225,BOOK003121,HOT0204,EMP00065,Spa,2025-12-13,1,1500,1500
SER000226,BOOK001960,HOT0129,EMP00015,Breakfast,2026-01-21,1,1500,1500
SER000227,BOOK000896,HOT0139,EMP00756,Breakfast,2024-08-28,3,1500,4500
SER000228,BOOK000103,HOT0117,EMP00121,Breakfast,2025-08-21,2,250,500
SER000229,BOOK004521,HOT0184,EMP00746,Airport Pickup,2025-10-02,2,1500,3000
SER000230,BOOK002845,HOT0228,EMP00538,Breakfast,2024-09-13,1,500,500
SER000231,BOOK002905,HOT0101,EMP00665,Room Cleaning,2026-01-23,4,1000,4000
SER000232,BOOK003806,HOT0004,EMP00634,Room Cleaning,2025-03-03,3,250,750
SER000233,BOOK000506,HOT0221,EMP00586,Spa,2024-11-01,3,500,1500
SER000234,BOOK003954,HOT0120,EMP00149,Swimming Pool,2026-05-03,4,750,3000
SER000235,BOOK000126,HOT0132,EMP00754,Mini Bar,2025-07-22,1,500,500
SER000236,BOOK001058,HOT0069,EMP00098,Lunch,2025-05-30,4,750,3000
SER000237,BOOK004275,HOT0170,EMP00496,Airport Pickup,2025-06-12,3,1500,4500
SER000238,BOOK002667,HOT0039,EMP00629,Swimming Pool,2024-12-23,2,250,500
SER000239,BOOK001879,HOT0013,EMP00024,Lunch,2024-09-17,4,750,3000
SER000240,BOOK000971,HOT0065,EMP00485,Gym,2025-08-08,2,750,1500
SER000241,BOOK004774,HOT0082,EMP00799,Dinner,2024-12-30,3,1000,3000
SER000242,BOOK003127,HOT0237,EMP00479,Airport Pickup,2025-11-02,1,500,500
SER000243,BOOK000155,HOT0116,EMP00333,Dinner,2025-03-26,2,500,1000
SER000244,BOOK000827,HOT0223,EMP00231,Spa,2025-11-16,1,1500,1500
SER000245,BOOK004313,HOT0054,EMP00594,Mini Bar,2025-10-09,2,1500,3000
SER000246,BOOK002148,HOT0024,EMP00041,Room Cleaning,2025-12-16,3,750,2250
SER000247,BOOK003469,HOT0017,EMP00136,Room Cleaning,2026-04-13,4,250,1000
SER000248,BOOK002513,HOT0234,EMP00703,Laundry,2026-05-12,2,1000,2000
SER000249,BOOK004361,HOT0077,EMP00617,Breakfast,2025-05-20,3,750,2250
SER000250,BOOK004587,HOT0236,EMP00657,Spa,2025-07-14,1,1500,1500
SER000251,BOOK003703,HOT0123,EMP00482,Lunch,2024-10-27,1,750,750
SER000252,BOOK003183,HOT0186,EMP00576,Room Cleaning,2025-06-11,4,750,3000
SER000253,BOOK002054,HOT0163,EMP00303,Mini Bar,2024-11-25,2,2000,4000
SER000254,BOOK004756,HOT0019,EMP00571,Breakfast,2024-11-29,1,2000,2000
SER000255,BOOK002977,HOT0008,EMP00255,Airport Pickup,2026-02-17,2,500,1000
SER000256,BOOK002240,HOT0162,EMP00020,Mini Bar,2026-02-15,1,250,250
SER000257,BOOK003227,HOT0062,EMP00144,Room Cleaning,2025-06-23,3,500,1500
SER000258,BOOK000377,HOT0142,EMP00451,Breakfast,2026-02-28,4,750,3000
SER000259,BOOK002273,HOT0193,EMP00017,Airport Pickup,2025-09-18,4,250,1000
SER000260,BOOK000349,HOT0127,EMP00338,Swimming Pool,2025-07-22,3,250,750
SER000261,BOOK000423,HOT0214,EMP00100,Breakfast,2026-02-26,3,2000,6000
SER000262,BOOK001447,HOT0189,EMP00570,Spa,2026-06-28,3,750,2250
SER000263,BOOK001819,HOT0154,EMP00491,Breakfast,2025-05-08,2,250,500
SER000264,BOOK003862,HOT0086,EMP00261,Lunch,2025-08-07,2,1000,2000
SER000265,BOOK000302,HOT0187,EMP00107,Spa,2024-10-04,1,250,250
SER000266,BOOK002271,HOT0014,EMP00121,Dinner,2024-12-28,3,2000,6000
SER000267,BOOK001655,HOT0064,EMP00069,Spa,2025-12-13,2,250,500
SER000268,BOOK002133,HOT0044,EMP00155,Dinner,2025-02-25,2,500,1000
SER000269,BOOK002333,HOT0198,EMP00213,Gym,2025-06-28,2,1500,3000
SER000270,BOOK003869,HOT0029,EMP00701,Breakfast,2025-11-02,2,500,1000
SER000271,BOOK003187,HOT0011,EMP00231,Lunch,2025-10-28,4,500,2000
SER000272,BOOK003315,HOT0169,EMP00038,Gym,2025-01-01,4,1000,4000
SER000273,BOOK003930,HOT0171,EMP00636,Breakfast,2024-10-13,2,750,1500
SER000274,BOOK004970,HOT0176,EMP00517,Dinner,2025-03-23,2,1500,3000
SER000275,BOOK002419,HOT0094,EMP00557,Breakfast,2024-09-30,4,750,3000
SER000276,BOOK000530,HOT0147,EMP00717,Dinner,2024-12-16,2,500,1000
SER000277,BOOK003743,HOT0031,EMP00036,Gym,2025-03-25,3,1500,4500
SER000278,BOOK001291,HOT0022,EMP00641,Breakfast,2025-06-10,4,750,3000
SER000279,BOOK002270,HOT0013,EMP00092,Airport Pickup,2025-07-10,2,750,1500
SER000280,BOOK000160,HOT0090,EMP00268,Mini Bar,2026-02-27,3,500,1500
SER000281,BOOK000455,HOT0116,EMP00036,Gym,2024-11-24,2,500,1000
SER000282,BOOK003324,HOT0087,EMP00020,Airport Pickup,2026-08-23,4,1000,4000
SER000283,BOOK001317,HOT0044,EMP00494,Mini Bar,2025-03-08,2,2000,4000
SER000284,BOOK004071,HOT0224,EMP00227,Room Cleaning,2026-06-04,3,2000,6000
SER000285,BOOK000187,HOT0225,EMP00601,Gym,2025-08-04,1,250,250
SER000286,BOOK002595,HOT0218,EMP00314,Airport Pickup,2024-10-24,2,1500,3000
SER000287,BOOK001225,HOT0078,EMP00075,Laundry,2025-08-03,1,250,250
SER000288,BOOK004229,HOT0152,EMP00594,Dinner,2025-11-10,3,1500,4500
SER000289,BOOK002614,HOT0072,EMP00683,Lunch,2025-04-11,3,250,750
SER000290,BOOK004347,HOT0129,EMP00154,Dinner,2025-04-24,4,250,1000
SER000291,BOOK004929,HOT0179,EMP00354,Mini Bar,2026-06-30,4,500,2000
SER000292,BOOK000060,HOT0001,EMP00122,Lunch,2025-04-29,2,750,1500
SER000293,BOOK000253,HOT0205,EMP00200,Room Cleaning,2025-10-13,1,1500,1500
SER000294,BOOK003398,HOT0187,EMP00097,Dinner,2026-03-04,2,1000,2000
SER000295,BOOK002838,HOT0001,EMP00690,Breakfast,2026-02-11,1,750,750
SER000296,BOOK002801,HOT0023,EMP00362,Breakfast,2024-11-25,3,750,2250
SER000297,BOOK002224,HOT0059,EMP00243,Gym,2026-04-25,3,1500,4500
SER000298,BOOK004351,HOT0076,EMP00691,Breakfast,2024-10-03,3,2000,6000
SER000299,BOOK000214,HOT0182,EMP00163,Room Cleaning,2025-11-11,4,2000,8000
SER000300,BOOK004993,HOT0028,EMP00379,Room Cleaning,2025-03-17,2,250,500
SER000301,BOOK002780,HOT0211,EMP00310,Swimming Pool,2025-03-28,2,1000,2000
SER000302,BOOK004097,HOT0081,EMP00654,Laundry,2025-10-05,1,1000,1000
SER000303,BOOK004379,HOT0022,EMP00500,Dinner,2024-11-12,3,1000,3000
SER000304,BOOK002675,HOT0138,EMP00523,Mini Bar,2026-04-09,3,2000,6000
SER000305,BOOK002136,HOT0183,EMP00220,Breakfast,2025-12-08,2,500,1000
SER000306,BOOK000374,HOT0183,EMP00767,Swimming Pool,2026-01-18,1,500,500
SER000307,BOOK002005,HOT0093,EMP00358,Airport Pickup,2025-05-28,4,1500,6000
SER000308,BOOK002571,HOT0054,EMP00163,Airport Pickup,2024-11-30,3,750,2250
SER000309,BOOK004664,HOT0085,EMP00786,Lunch,2026-07-31,1,500,500
SER000310,BOOK004136,HOT0182,EMP00164,Swimming Pool,2025-10-16,2,750,1500
SER000311,BOOK002762,HOT0038,EMP00354,Mini Bar,2025-09-13,4,1000,4000
SER000312,BOOK002599,HOT0057,EMP00102,Gym,2026-04-17,1,2000,2000
SER000313,BOOK000452,HOT0055,EMP00754,Lunch,2026-02-02,4,750,3000
SER000314,BOOK004393,HOT0216,EMP00311,Gym,2025-05-29,1,2000,2000
