review_id,booking_id,customer_id,hotel_id,rating,review_title,review_text,review_date,sentiment
REV000048,BOOK003742,CUST001847,HOT0229,2,Poor Service,Room was clean and comfortable.,2024-08-18,Negative
REV000049,BOOK002541,CUST000350,HOT0138,3,Average Experience,Will definitely visit again.,2026-02-12,Neutral
REV000050,BOOK003972,CUST003606,HOT0204,5,Very Good,Great location and ambience.,2026-02-26,Positive
REV000051,BOOK004739,CUST002763,HOT0115,3,Amazing Hospitality,Check-in process was smooth.,2026-09-01,Neutral
REV000052,BOOK004560,CUST003226,HOT0190,3,Amazing Hospitality,Overall satisfied with the stay.,2025-02-14,Neutral
REV000053,BOOK004347,CUST002781,HOT0129,4,Amazing Hospitality,Food quality was excellent.,2025-05-05,Positive
REV000054,BOOK001059,CUST001397,HOT0162,5,Needs Improvement,Staff were friendly and helpful.,2025-11-15,Positive
REV000055,BOOK000367,CUST000282,HOT0015,3,Highly Recommended,Staff were friendly and helpful.,2026-03-13,Neutral
REV000056,BOOK003321,CUST004027,HOT0060,5,Very Good,Bathroom needs improvement.,2026-01-12,Positive
REV000057,BOOK000729,CUST000541,HOT0170,3,Needs Improvement,Food quality was excellent.,2026-04-07,Neutral
REV000058,BOOK003009,CUST003765,HOT0035,2,Highly Recommended,Great location and ambience.,2025-02-11,Negative
REV000059,BOOK003039,CUST000762,HOT0100,4,Amazing Hospitality,Food quality was excellent.,2025-08-07,Positive
REV000060,BOOK002414,CUST001915,HOT0159,2,Poor Service,Check-in process was smooth.,2026-05-28,Negative
REV000061,BOOK004955,CUST003987,HOT0105,5,Average Experience,Will definitely visit again.,2025-08-11,Positive
REV000062,BOOK002824,CUST003493,HOT0012,4,Very Good,Room was clean and comfortable.,2025-05-19,Positive
REV000063,BOOK000321,CUST002828,HOT0207,5,Value for Money,Staff were friendly and helpful.,2026-04-16,Positive
REV000064,BOOK000743,CUST002444,HOT0129,1,Amazing Hospitality,Food quality was excellent.,2025-06-05,Negative
REV000065,BOOK001349,CUST001281,HOT0248,2,Amazing Hospitality,Check-in process was smooth.,2025-09-06,Negative
REV000066,BOOK002786,CUST000475,HOT0088,4,Highly Recommended,Overall satisfied with the stay.,2025-03-04,Positive
REV000067,BOOK000283,CUST001412,HOT0073,1,Average Experience,Room was clean and comfortable.,2026-08-04,Negative
REV000068,BOOK000400,CUST003587,HOT0183,2,Average Experience,Bathroom needs improvement.,2025-12-22,Negative
REV000069,BOOK003668,CUST004137,HOT0062,3,Amazing Hospitality,Food quality was excellent.,2026-01-13,Neutral
REV000070,BOOK004728,CUST001110,HOT0180,1,Average Experience,Room was clean and comfortable.,2024-10-15,Negative
REV000071,BOOK001347,CUST001742,HOT0152,4,Very Good,Room was clean and comfortable.,2025-12-21,Positive
REV000072,BOOK002029,CUST001935,HOT0194,2,Value for Money,Will definitely visit again.,2024-11-14,Negative
REV000073,BOOK002573,CUST001577,HOT0182,1,Highly Recommended,Overall satisfied with the stay.,2025-07-01,Negative
REV000074,BOOK002578,CUST004292,HOT0241,5,Excellent Stay,Room was clean and comfortable.,2026-01-16,Positive
REV000075,BOOK000630,CUST001685,HOT0070,4,Value for Money,Overall satisfied with the stay.,2026-07-27,Positive
REV000076,BOOK002616,CUST001827,HOT0062,2,Average Experience,Check-in process was smooth.,2026-08-27,Negative
REV000077,BOOK002906,CUST001819,HOT0151,4,Poor Service,Great location and ambience.,2024-10-14,Positive
REV000078,BOOK002299,CUST003161,HOT0111,1,Amazing Hospitality,Staff were friendly and helpful.,2026-06-08,Negative
REV000079,BOOK000584,CUST002935,HOT0050,5,Highly Recommended,Overall satisfied with the stay.,2026-08-03,Positive
REV000080,BOOK004486,CUST002826,HOT0141,2,Value for Money,Staff were friendly and helpful.,2026-07-07,Negative
REV000081,BOOK001902,CUST004750,HOT0225,3,Excellent Stay,Great location and ambience.,2026-06-12,Neutral
REV000082,BOOK001588,CUST003441,HOT0248,1,Highly Recommended,Bathroom needs improvement.,2026-01-28,Negative
REV000083,BOOK001273,CUST003988,HOT0133,3,Excellent Stay,Bathroom needs improvement.,2024-10-05,Neutral
REV000084,BOOK002149,CUST001230,HOT0238,4,Poor Service,Staff were friendly and helpful.,2025-09-23,Positive
REV000085,BOOK002696,CUST003059,HOT0015,4,Poor Service,Check-in process was smooth.,2024-12-19,Positive
REV000086,BOOK003737,CUST003970,HOT0231,1,Highly Recommended,Will definitely visit again.,2026-04-02,Negative
REV000087,BOOK003284,CUST004856,HOT0030,4,Average Experience,Staff were friendly and helpful.,2026-05-07,Positive
REV000088,BOOK001172,CUST004344,HOT0187,5,Needs Improvement,Check-in process was smooth.,2026-04-27,Positive
REV000089,BOOK004320,CUST000570,HOT0237,2,Very Good,Great location and ambience.,2026-01-09,Negative
REV000090,BOOK002034,CUST003955,HOT0191,5,Amazing Hospitality,Room was clean and comfortable.,2025-10-12,Positive
REV000091,BOOK001913,CUST001901,HOT0022,2,Highly Recommended,Overall satisfied with the stay.,2026-07-23,Negative
REV000092,BOOK002398,CUST000979,HOT0122,2,Excellent Stay,Bathroom needs improvement.,2025-07-11,Negative
REV000093,BOOK001627,CUST001989,HOT0188,2,Amazing Hospitality,Overall satisfied with the stay.,2025-02-19,Negative
REV000094,BOOK002387,CUST004829,HOT0219,5,Value for Money,Room was clean and comfortable.,2025-02-05,Positive
REV000095,BOOK000990,CUST004947,HOT0006,2,Excellent Stay,Will definitely visit again.,2024-08-11,Negative
REV000096,BOOK002614,CUST001208,HOT0072,2,Excellent Stay,Overall satisfied with the stay.,2025-04-17,Negative
REV000097,BOOK004380,CUST000240,HOT0087,5,Poor Service,Great location and ambience.,2024-11-29,Positive
REV000098,BOOK002659,CUST001898,HOT0249,1,Needs Improvement,Food quality was excellent.,2026-08-13,Negative
REV000099,BOOK000296,CUST002808,HOT0210,1,Excellent Stay,Great location and ambience.,2025-02-05,Negative
REV000100,BOOK000713,CUST000322,HOT0107,1,Excellent Stay,Check-in process was smooth.,2024-09-03,Negative
REV000101,BOOK003610,CUST004193,HOT0003,4,Value for Money,Bathroom needs improvement.,2025-04-25,Positive
REV000102,BOOK003198,CUST004340,HOT0139,5,Poor Service,Overall satisfied with the stay.,2025-09-10,Positive
REV000103,BOOK001574,CUST002785,HOT0207,3,Needs Improvement,Food quality was excellent.,2026-05-31,Neutral
REV000104,BOOK001772,CUST000335,HOT0044,5,Very Good,Great location and ambience.,2025-07-02,Positive
REV000105,BOOK001784,CUST003468,HOT0059,4,Amazing Hospitality,Check-in process was smooth.,2026-05-08,Positive
REV000106,BOOK001783,CUST002570,HOT0078,4,Excellent Stay,Overall satisfied with the stay.,2026-08-20,Positive
REV000107,BOOK001320,CUST001258,HOT0043,3,Excellent Stay,Great location and ambience.,2026-05-07,Neutral
REV000108,BOOK004354,CUST003437,HOT0192,4,Average Experience,Check-in process was smooth.,2026-01-03,Positive
REV000109,BOOK003886,CUST001314,HOT0197,1,Needs Improvement,Will definitely visit again.,2024-12-02,Negative
REV000110,BOOK004461,CUST002155,HOT0074,5,Very Good,Overall satisfied with the stay.,2025-11-14,Positive
REV000111,BOOK000421,CUST001591,HOT0141,2,Very Good,Food quality was excellent.,2025-11-22,Negative
REV000112,BOOK002269,CUST004582,HOT0085,5,Needs Improvement,Bathroom needs improvement.,2025-10-23,Positive
REV000113,BOOK001319,CUST001843,HOT0192,1,Value for Money,Great location and ambience.,2025-09-02,Negative
REV000114,BOOK001800,CUST001008,HOT0140,3,Excellent Stay,Food quality was excellent.,2025-12-15,Neutral
REV000115,BOOK002446,CUST001913,HOT0025,1,Very Good,Will definitely visit again.,2026-08-12,Negative
REV000116,BOOK000548,CUST000708,HOT0091,5,Poor Service,Check-in process was smooth.,2025-12-14,Positive
REV000117,BOOK000703,CUST003106,HOT0168,3,Very Good,Check-in process was smooth.,2026-01-28,Neutral
REV000118,BOOK002699,CUST003018,HOT0227,4,Poor Service,Great location and ambience.,2025-09-19,Positive
REV000119,BOOK000997,CUST004964,HOT0162,5,Highly Recommended,Great location and ambience.,2024-11-06,Positive
REV000120,BOOK004647,CUST000073,HOT0079,5,Value for Money,Check-in process was smooth.,2026-08-03,Positive
REV000121,BOOK000377,CUST004935,HOT0142,3,Value for Money,Food quality was excellent.,2026-03-05,Neutral
REV000122,BOOK002394,CUST004780,HOT0124,4,Excellent Stay,Staff were friendly and helpful.,2025-03-28,Positive
REV000123,BOOK004554,CUST000679,HOT0212,1,Needs Improvement,Overall satisfied with the stay.,2026-02-05,Negative
REV000124,BOOK004839,CUST004296,HOT0234,3,Average Experience,Room was clean and comfortable.,2026-08-21,Neutral
REV000125,BOOK004041,CUST003574,HOT0201,1,Value for Money,,2026-06-25,Negative
REV000126,BOOK001436,CUST001808,HOT0069,2,Needs Improvement,Room was clean and comfortable.,2025-10-20,Negative
REV000127,BOOK003498,CUST003962,HOT0179,2,Excellent Stay,Bathroom needs improvement.,2026-01-07,Negative
REV000128,BOOK004301,CUST001558,HOT0110,1,Excellent Stay,Will definitely visit again.,2026-05-02,Negative
REV000129,BOOK003814,CUST003881,HOT0248,5,Value for Money,Staff were friendly and helpful.,2025-10-04,Positive
REV000130,BOOK000945,CUST002273,HOT0156,1,Very Good,Check-in process was smooth.,2025-08-23,Negative
REV000131,BOOK003477,CUST001920,HOT0165,3,Amazing Hospitality,Will definitely visit again.,2026-02-28,Neutral
REV000132,BOOK004594,CUST004115,HOT0048,5,Highly Recommended,Food quality was excellent.,2026-05-28,Positive
REV000133,BOOK004668,CUST000472,HOT0005,4,Needs Improvement,Room was clean and comfortable.,2025-08-05,Positive
REV000134,BOOK002321,CUST002073,HOT0048,3,Amazing Hospitality,Room was clean and comfortable.,2025-05-20,Neutral
REV000135,BOOK000114,CUST001759,HOT0005,3,Poor Service,Will definitely visit again.,2025-08-04,Neutral
REV000136,BOOK004878,CUST004254,HOT0128,3,Very Good,Bathroom needs improvement.,2026-02-23,Neutral
REV000137,BOOK004334,CUST003876,HOT0136,2,Poor Service,,2026-03-29,Negative
REV000138,BOOK002916,CUST002638,HOT0237,1,Needs Improvement,Will definitely visit again.,2026-03-25,Negative
REV000139,BOOK003864,CUST002178,HOT0074,5,Needs Improvement,Room was clean and comfortable.,2025-06-24,Positive
REV000140,BOOK003732,CUST004865,HOT0177,1,Needs Improvement,Food quality was excellent.,2025-03-15,Negative
REV000141,BOOK001138,CUST001380,HOT0065,4,Needs Improvement,Great location and ambience.,2025-01-23,Positive
REV000142,BOOK000410,CUST000755,HOT0060,5,Very Good,Check-in process was smooth.,2025-07-04,Positive
REV000143,BOOK002280,CUST004464,HOT0044,1,Amazing Hospitality,Staff were friendly and helpful.,2024-12-28,Negative
REV000144,BOOK000017,CUST000780,HOT0097,4,Highly Recommended,Check-in process was smooth.,2026-08-28,Positive
REV000145,BOOK003954,CUST000809,HOT0120,1,Average Experience,Bathroom needs improvement.,2026-05-11,Negative
REV000146,BOOK003711,CUST001578,HOT0184,2,Very Good,Room was clean and comfortable.,2026-03-23,Negative
REV000147,BOOK000890,CUST003182,HOT0009,3,Amazing Hospitality,Will definitely visit again.,2026-07-02,Neutral
REV000148,BOOK000849,CUST001001,HOT0248,2,Average Experience,Overall satisfied with the stay.,2025-07-28,Negative
REV000149,BOOK000375,CUST002084,HOT0198,1,Poor Service,Great location and ambience.,2025-06-13,Negative
REV000150,BOOK002222,CUST003507,HOT0195,4,Needs Improvement,Food quality was excellent.,2026-06-08,Positive
REV000151,BOOK002526,CUST001012,HOT0165,1,Amazing Hospitality,Will definitely visit again.,2025-04-30,Negative
REV000152,BOOK000893,CUST002289,HOT0116,2,Average Experience,Will definitely visit again.,2025-01-05,Negative
REV000153,BOOK002483,CUST003867,HOT0042,2,Very Good,Will definitely visit again.,2025-02-20,Negative
REV000154,BOOK003828,CUST004064,HOT0087,1,Excellent Stay,Check-in process was smooth.,2024-09-22,Negative
REV000155,BOOK000891,CUST003570,HOT0108,5,Amazing Hospitality,Will definitely visit again.,2024-10-22,Positive
REV000156,BOOK001552,CUST000682,HOT0035,5,Highly Recommended,Staff were friendly and helpful.,2026-06-08,Positive
REV000157,BOOK004600,CUST001337,HOT0076,3,Amazing Hospitality,Check-in process was smooth.,2024-08-20,Neutral
REV000158,BOOK001294,CUST000208,HOT0141,5,Excellent Stay,Bathroom needs improvement.,2026-03-24,Positive
REV000159,BOOK001614,CUST001889,HOT0222,1,Average Experience,Overall satisfied with the stay.,2026-08-07,Negative
REV000160,BOOK003752,CUST001142,HOT0092,2,Value for Money,Bathroom needs improvement.,2024-12-05,Negative
REV000161,BOOK004695,CUST004656,HOT0243,5,Highly Recommended,Overall satisfied with the stay.,2025-04-17,Positive
REV000162,BOOK003816,CUST003980,HOT0057,2,Highly Recommended,Room was clean and comfortable.,2026-07-04,Negative
REV000163,BOOK004946,CUST000688,HOT0047,5,Poor Service,Bathroom needs improvement.,2025-11-30,Positive
REV000164,BOOK001846,CUST004985,HOT0084,2,Average Experience,Food quality was excellent.,2024-12-20,Negative
REV000165,BOOK001571,CUST002704,HOT0064,5,Poor Service,Will definitely visit again.,2026-02-02,Positive
REV000166,BOOK004795,CUST002385,HOT0241,3,Average Experience,Food quality was excellent.,2026-01-20,Neutral
REV000167,BOOK003165,CUST003285,HOT0154,4,Excellent Stay,Staff were friendly and helpful.,2026-04-26,Positive
REV000168,BOOK002855,CUST000122,HOT0039,5,Excellent Stay,Room was clean and comfortable.,2026-07-01,Positive
REV000169,BOOK003619,CUST002954,HOT0113,5,Poor Service,Bathroom needs improvement.,2025-12-19,Positive
REV000170,BOOK002378,CUST000146,HOT0230,5,Very Good,Will definitely visit again.,2026-04-17,Positive
REV000171,BOOK003384,CUST000712,HOT0248,5,Very Good,Check-in process was smooth.,2026-01-07,Positive
REV000172,BOOK000108,CUST001370,HOT0234,2,Highly Recommended,Staff were friendly and helpful.,2025-01-25,Negative
REV000173,BOOK004571,CUST002307,HOT0241,3,Poor Service,Bathroom needs improvement.,2024-09-20,Neutral
REV000174,BOOK004073,CUST004801,HOT0233,5,Amazing Hospitality,Check-in process was smooth.,2026-02-11,Positive
REV000175,BOOK002905,CUST001535,HOT0101,1,Amazing Hospitality,Bathroom needs improvement.,2026-02-01,Negative
REV000176,BOOK002423,CUST002424,HOT0159,4,Poor Service,Food quality was excellent.,2025-05-15,Positive
REV000177,BOOK003130,CUST000817,HOT0115,1,Poor Service,Check-in process was smooth.,2024-12-10,Negative
REV000178,BOOK004183,CUST001041,HOT0205,5,Value for Money,Food quality was excellent.,2024-12-27,Positive
REV000179,BOOK003377,CUST001322,HOT0110,3,Highly Recommended,Will definitely visit again.,2026-07-07,Neutral
REV000180,BOOK003857,CUST000194,HOT0027,4,Highly Recommended,Will definitely visit again.,2026-06-28,Positive
REV000181,BOOK003217,CUST002087,HOT0120,2,Average Experience,Great location and ambience.,2024-11-26,Negative
REV000182,BOOK001867,CUST004261,HOT0199,5,Highly Recommended,Great location and ambience.,2026-06-05,Positive
REV000183,BOOK002958,CUST001631,HOT0187,5,Very Good,Will definitely visit again.,2025-09-09,Positive
REV000184,BOOK003684,CUST999999,HOT0098,1,Value for Money,Check-in process was smooth.,2026-04-05,Negative
REV000185,BOOK004019,CUST000174,HOT0126,4,Value for Money,,2025-05-29,Positive
REV000186,BOOK000293,CUST002606,HOT0011,3,Value for Money,Room was clean and comfortable.,2026-07-22,Neutral
REV000187,BOOK001045,CUST004098,HOT0080,2,Poor Service,Food quality was excellent.,2025-10-30,Negative
REV000188,BOOK001493,CUST002133,HOT0131,1,Very Good,Bathroom needs improvement.,2025-02-08,Negative
REV000189,BOOK001440,CUST004552,HOT0174,3,Average Experience,Great location and ambience.,2025-03-22,Neutral
REV000190,BOOK002214,CUST000680,HOT0140,3,Excellent Stay,Food quality was excellent.,2026-05-25,Neutral
REV000191,BOOK003345,CUST000249,HOT0248,1,Value for Money,Staff were friendly and helpful.,2025-10-31,Negative
REV000192,BOOK004173,CUST000838,HOT0120,2,Poor Service,Room was clean and comfortable.,2026-04-09,Negative
REV000193,BOOK001724,CUST004658,HOT0159,4,Value for Money,Will definitely visit again.,2026-02-26,Positive
REV000194,BOOK000416,CUST002481,HOT0110,3,Needs Improvement,Bathroom needs improvement.,2025-04-08,Neutral
REV000195,BOOK002767,CUST001663,HOT0217,5,Excellent Stay,Bathroom needs improvement.,2026-08-12,Positive
REV000196,BOOK001203,CUST004877,HOT0174,3,Amazing Hospitality,Check-in process was smooth.,2026-03-25,Neutral
REV000197,BOOK000275,CUST004101,HOT0077,5,Very Good,Food quality was excellent.,2026-01-06,Positive
REV000198,BOOK001331,CUST001216,HOT0080,2,Excellent Stay,Overall satisfied with the stay.,2025-10-31,Negative
REV000199,BOOK002779,CUST004787,HOT0099,2,Amazing Hospitality,Staff were friendly and helpful.,2025-08-24,Negative
REV000200,BOOK002350,CUST001556,HOT0178,4,Very Good,Bathroom needs improvement.,2025-07-19,Positive
REV000201,BOOK004969,CUST000076,HOT0208,2,Very Good,Food quality was excellent.,2026-07-21,Negative
REV000202,BOOK001257,CUST000288,HOT0163,2,Value for Money,Room was clean and comfortable.,2024-10-17,Negative
REV000203,BOOK001565,CUST003573,HOT0042,3,Poor Service,Food quality was excellent.,2025-07-08,Neutral
REV000204,BOOK004696,CUST004156,HOT0128,3,Poor Service,Bathroom needs improvement.,2024-10-06,Neutral
REV000205,BOOK003781,CUST001287,HOT0082,1,Needs Improvement,Bathroom needs improvement.,2025-02-14,Negative
REV000206,BOOK000845,CUST000231,HOT0068,5,Excellent Stay,Overall satisfied with the stay.,2025-04-22,Positive
REV000207,BOOK001712,CUST000554,HOT0231,1,Amazing Hospitality,Food quality was excellent.,2026-09-13,Negative
REV000208,BOOK003549,CUST004115,HOT0021,1,Needs Improvement,Staff were friendly and helpful.,2024-09-11,Negative
REV000209,BOOK001898,CUST003336,HOT0235,3,Needs Improvement,Overall satisfied with the stay.,2026-01-13,Neutral
REV000210,BOOK001803,CUST001777,HOT0173,5,Needs Improvement,Overall satisfied with the stay.,2026-07-01,Positive
REV000211,BOOK002820,CUST002499,HOT0158,5,Amazing Hospitality,Will definitely visit again.,2025-08-21,Positive
REV000212,BOOK004642,CUST002451,HOT0090,1,Average Experience,Room was clean and comfortable.,2025-01-28,Negative
REV000213,BOOK002332,CUST003724,HOT0045,1,Average Experience,Food quality was excellent.,2026-03-08,Negative
REV000214,BOOK003768,CUST000879,HOT0046,2,Average Experience,Staff were friendly and helpful.,2025-10-15,Negative
REV000215,BOOK004444,CUST004180,HOT0173,1,Very Good,Check-in process was smooth.,2024-10-26,Negative
REV000216,BOOK003682,CUST001122,HOT0178,2,Value for Money,Room was clean and comfortable.,2025-12-24,Negative
REV000217,BOOK002284,CUST004036,HOT0021,2,Needs Improvement,Food quality was excellent.,2025-03-15,Negative
REV000218,BOOK002735,CUST003503,HOT0116,2,Highly Recommended,Check-in process was smooth.,2024-11-17,Negative
REV000219,BOOK001325,CUST003699,HOT0091,3,Very Good,Room was clean and comfortable.,2025-02-27,Neutral
REV000220,BOOK000433,CUST001658,HOT0174,3,Poor Service,Bathroom needs improvement.,2026-09-18,Neutral
REV000221,BOOK004796,CUST002217,HOT0071,1,Highly Recommended,Check-in process was smooth.,2026-01-14,Negative
REV000222,BOOK001437,CUST003091,HOT0091,3,Needs Improvement,Food quality was excellent.,2025-11-14,Neutral
REV000223,BOOK003840,CUST003944,HOT0095,4,Poor Service,Food quality was excellent.,2024-11-17,Positive
REV000224,BOOK001012,CUST001326,HOT0034,4,Highly Recommended,Food quality was excellent.,2024-09-05,Positive
REV000225,BOOK000307,CUST001125,HOT0061,1,Very Good,Food quality was excellent.,2026-05-19,Negative
REV000226,BOOK001505,CUST999999,HOT0084,4,Value for Money,Staff were friendly and helpful.,2026-02-16,Positive
REV000227,BOOK003343,CUST004373,HOT0112,5,Excellent Stay,Overall satisfied with the stay.,2026-03-21,Positive
REV000228,BOOK002738,CUST000222,HOT0113,1,Poor Service,Will definitely visit again.,2024-08-23,Negative
REV000229,BOOK003106,CUST001791,HOT0144,4,Very Good,Great location and ambience.,2026-01-19,Positive
REV000230,BOOK000170,CUST001685,HOT0203,2,Poor Service,Room was clean and comfortable.,2025-08-17,Negative
REV000231,BOOK004556,CUST001140,HOT0132,2,Value for Money,Food quality was excellent.,2025-01-23,Negative
REV000232,BOOK003813,CUST000457,HOT0156,3,Excellent Stay,Check-in process was smooth.,2026-01-29,Neutral
REV000233,BOOK002947,CUST001524,HOT0229,5,Poor Service,Food quality was excellent.,2025-12-13,Positive
REV000234,BOOK003447,CUST001026,HOT0167,4,Very Good,Bathroom needs improvement.,2025-05-08,Positive
REV000235,BOOK001361,CUST004113,HOT0168,3,Excellent Stay,Staff were friendly and helpful.,2025-01-14,Neutral
REV000236,BOOK001503,CUST002007,HOT0208,4,Poor Service,Staff were friendly and helpful.,2026-01-18,Positive
REV000237,BOOK004090,CUST004287,HOT0069,5,Excellent Stay,Overall satisfied with the stay.,2025-03-08,Positive
REV000238,BOOK003374,CUST000684,HOT0059,2,Amazing Hospitality,Check-in process was smooth.,2026-05-02,Negative
REV000239,BOOK001303,CUST004263,HOT0186,4,Poor Service,Check-in process was smooth.,2025-09-28,Positive
REV000240,BOOK001121,CUST004807,HOT0144,1,Amazing Hospitality,Bathroom needs improvement.,2025-01-20,Negative
REV000241,BOOK001545,CUST003195,HOT0010,4,Very Good,Bathroom needs improvement.,2025-11-23,Positive
REV000242,BOOK004976,CUST000013,HOT0028,5,Highly Recommended,Overall satisfied with the stay.,2025-11-24,Positive
REV000243,BOOK004475,CUST002109,HOT0081,2,Highly Recommended,Bathroom needs improvement.,2026-03-22,Negative
REV000244,BOOK001233,CUST003727,HOT0020,1,Excellent Stay,Check-in process was smooth.,2025-03-24,Negative
REV000245,BOOK001082,CUST002989,HOT0127,1,Highly Recommended,Will definitely visit again.,2026-09-04,Negative
REV000246,BOOK001490,CUST004785,HOT0023,2,Needs Improvement,Room was clean and comfortable.,2026-08-22,Negative
REV000247,BOOK003530,CUST002139,HOT0232,2,Amazing Hospitality,Great location and ambience.,2025-07-06,Negative
REV000248,BOOK000587,CUST003728,HOT0223,5,Poor Service,Check-in process was smooth.,2025-03-20,Positive
REV000249,BOOK000479,CUST002825,HOT0139,3,Average Experience,Bathroom needs improvement.,2025-03-06,Neutral
REV000250,BOOK001143,CUST003859,HOT0163,5,Average Experience,Bathroom needs improvement.,2025-03-23,Positive
REV000251,BOOK000174,CUST003224,HOT0036,2,Needs Improvement,Food quality was excellent.,2025-02-11,Negative
