room_id,hotel_id,room_number,room_type,capacity,base_price,floor,availability
ROOM000084,HOT0208,648,Deluxe,4,5000,8,Available
ROOM000085,HOT0031,137,Family,6,5000,12,Available
ROOM000086,HOT0223,535,Deluxe,1,15000,14,Available
ROOM000087,HOT0099,862,Standard,2,10000,1,Occupied
ROOM000088,HOT0221,170,Executive,6,5000,7,Maintenance
ROOM000089,HOT0051,961,Family,2,7000,13,Occupied
ROOM000090,HOT0215,153,Standard,4,7000,7,Maintenance
ROOM000091,HOT0061,209,Standard,4,2500,8,Maintenance
ROOM000092,HOT0241,473,Presidential,6,2500,9,Available
ROOM000093,HOT0085,655,Executive,1,10000,7,Occupied
ROOM000094,HOT0009,851,Presidential,6,10000,7,Occupied
ROOM000095,HOT0092,768,Standard,6,5000,6,Occupied
ROOM000096,HOT0197,675,Suite,4,15000,15,Occupied
ROOM000097,HOT0171,566,Presidential,2,7000,14,Occupied
ROOM000098,HOT0093,631,Deluxe,2,3500,7,Occupied
ROOM000099,HOT0005,888,Executive,6,10000,15,Available
ROOM000100,HOT0144,776,Suite,2,10000,15,Occupied
ROOM000101,HOT0222,970,Executive,2,3500,10,Occupied
ROOM000102,HOT0038,218,Deluxe,6,10000,11,Maintenance
ROOM000103,HOT0057,500,Family,4,10000,13,Available
ROOM000104,HOT0202,365,Standard,6,5000,15,Available
ROOM000105,HOT0147,553,Presidential,3,5000,15,Maintenance
ROOM000106,HOT0063,919,Family,1,15000,5,Occupied
ROOM000107,HOT0137,645,Suite,5,10000,8,Maintenance
ROOM000108,HOT0083,565,Family,2,2500,12,Available
ROOM000109,HOT0143,558,Executive,2,3500,15,Maintenance
ROOM000110,HOT0084,151,Family,5,3500,6,Occupied
ROOM000111,HOT0002,905,Executive,4,10000,4,Maintenance
ROOM000112,HOT0194,978,Presidential,6,3500,9,Available
ROOM000113,HOT0213,418,Presidential,4,15000,10,Occupied
ROOM000114,HOT0031,905,Executive,6,10000,14,Occupied
ROOM000115,HOT0217,335,Deluxe,1,2500,6,Occupied
ROOM000116,HOT0097,801,Executive,4,2500,3,Occupied
ROOM000117,HOT0233,155,Presidential,6,15000,13,Maintenance
ROOM000118,HOT0250,247,Presidential,4,10000,4,Available
ROOM000119,HOT0162,967,Deluxe,4,10000,10,Available
ROOM000120,HOT0081,462,Suite,6,2500,10,Available
ROOM000121,HOT0122,972,Standard,3,15000,8,Available
ROOM000122,HOT0245,568,Presidential,1,2500,11,Maintenance
ROOM000123,HOT0131,523,Presidential,4,2500,9,Maintenance
ROOM000124,HOT0084,192,Executive,3,10000,3,Maintenance
ROOM000125,HOT0199,975,Family,5,3500,6,Occupied
ROOM000126,HOT0019,420,Deluxe,4,7000,5,Occupied
ROOM000127,HOT0036,925,Deluxe,6,15000,1,Occupied
ROOM000128,HOT0040,801,,3,5000,1,Available
ROOM000129,HOT0196,274,Suite,2,10000,13,Available
ROOM000130,HOT0212,160,Presidential,6,5000,15,Maintenance
ROOM000131,HOT0064,994,Executive,4,3500,7,Maintenance
ROOM000132,HOT0142,319,Family,3,2500,13,Available
ROOM000133,HOT0181,569,Executive,2,2500,7,Available
ROOM000134,HOT0075,216,Family,3,3500,13,Occupied
ROOM000135,HOT0093,647,Deluxe,1,3500,1,Available
ROOM000136,HOT0172,364,Suite,6,10000,7,Maintenance
ROOM000137,HOT0073,361,Suite,6,7000,14,Maintenance
ROOM000138,HOT0106,852,Family,4,2500,1,Occupied
ROOM000139,HOT0182,999,Standard,4,15000,15,Available
ROOM000140,HOT0004,625,Presidential,6,2500,11,Occupied
ROOM000141,HOT0131,682,Family,4,2500,7,Maintenance
ROOM000142,HOT0214,989,Standard,2,3500,9,Available
ROOM000143,HOT0077,788,Deluxe,6,7000,4,Maintenance
ROOM000144,HOT0098,933,Suite,4,2500,2,Maintenance
ROOM000145,HOT0069,593,Executive,1,3500,5,Available
ROOM000146,HOT0112,221,Presidential,6,15000,14,Available
ROOM000147,HOT0206,838,Executive,5,15000,9,Maintenance
ROOM000148,HOT0026,485,Suite,2,7000,6,Maintenance
ROOM000149,HOT0187,547,Executive,3,3500,15,Available
ROOM000150,HOT0008,522,Standard,2,15000,5,Available
ROOM000151,HOT0025,458,Suite,5,2500,14,Occupied
ROOM000152,HOT0116,750,Presidential,1,5000,7,Maintenance
ROOM000153,HOT0177,998,Deluxe,3,5000,3,Available
ROOM000154,HOT0222,198,Executive,4,5000,8,Occupied
ROOM000155,HOT0223,467,Deluxe,6,2500,10,Occupied
ROOM000156,HOT0059,171,Suite,4,3500,14,Available
ROOM000157,HOT0020,135,Deluxe,3,7000,12,Available
ROOM000158,HOT0112,595,Presidential,3,5000,13,Occupied
ROOM000159,HOT0243,824,Executive,3,7000,7,Maintenance
ROOM000160,HOT0160,804,Suite,1,15000,10,Available
ROOM000161,HOT0184,198,Executive,2,10000,5,Maintenance
ROOM000162,HOT0241,783,Standard,4,5000,1,Occupied
ROOM000163,HOT0222,749,Deluxe,6,10000,14,Maintenance
ROOM000164,HOT0039,379,Family,6,2500,15,Maintenance
ROOM000165,HOT0195,896,Deluxe,6,10000,6,Available
ROOM000166,HOT0088,968,Presidential,2,3500,2,Maintenance
ROOM000167,HOT0177,577,Suite,1,5000,7,Maintenance
ROOM000168,HOT0047,480,Presidential,1,15000,5,Occupied
ROOM000169,HOT0031,770,Presidential,6,3500,8,Occupied
ROOM000170,HOT0154,431,Presidential,1,15000,6,Available
ROOM000171,HOT0091,474,Deluxe,5,2500,1,Available
ROOM000172,HOT0211,969,Suite,1,2500,12,Maintenance
ROOM000173,HOT0149,916,,3,15000,14,Maintenance
ROOM000174,HOT0237,769,Suite,1,3500,2,Available
ROOM000175,HOT0029,613,Presidential,4,10000,6,Maintenance
ROOM000176,HOT0103,611,Standard,3,7000,4,Occupied
ROOM000177,HOT0099,520,Suite,5,10000,15,Occupied
ROOM000178,HOT0119,876,Presidential,6,5000,11,Maintenance
ROOM000179,HOT0132,784,Presidential,4,5000,7,Available
ROOM000180,HOT0150,990,Standard,3,3500,4,Maintenance
ROOM000181,HOT0134,570,Standard,2,7000,12,Maintenance
ROOM000182,HOT0213,560,Executive,6,2500,8,Available
ROOM000183,HOT0071,420,Executive,1,7000,10,Available
ROOM000184,HOT0087,717,Standard,5,7000,14,Maintenance
ROOM000185,HOT0099,821,Standard,2,3500,2,Available
ROOM000186,HOT0114,997,Standard,5,2500,10,Maintenance
ROOM000187,HOT0187,591,Presidential,2,3500,2,Occupied
ROOM000188,HOT0105,818,Family,4,-15000,8,Occupied
ROOM000189,HOT0169,843,Suite,4,7000,15,Available
ROOM000190,HOT0090,831,Suite,1,10000,15,Occupied
ROOM000191,HOT0238,149,Standard,5,7000,7,Available
ROOM000192,HOT0205,385,Presidential,6,3500,15,Maintenance
ROOM000193,HOT0233,978,Family,6,5000,14,Available
ROOM000194,HOT0178,344,Deluxe,2,10000,9,Available
ROOM000195,HOT0138,845,Executive,5,10000,9,Occupied
ROOM000196,HOT0108,890,Family,5,10000,15,Occupied
ROOM000197,HOT0045,988,Executive,6,3500,4,Available
ROOM000198,HOT0058,199,Deluxe,1,15000,9,Maintenance
ROOM000199,HOT0016,118,Presidential,6,15000,15,Occupied
ROOM000200,HOT0047,208,Suite,5,3500,15,Available
ROOM000201,HOT0142,711,Family,4,15000,5,Occupied
ROOM000202,HOT0058,846,Executive,1,15000,8,Maintenance
ROOM000203,HOT0113,413,Executive,6,10000,4,Occupied
ROOM000204,HOT0069,936,Family,2,3500,4,Available
ROOM000205,HOT0196,603,Suite,6,7000,4,Available
ROOM000206,HOT0142,563,Deluxe,5,15000,4,Available
ROOM000207,HOT0207,963,Presidential,2,7000,12,Available
ROOM000208,HOT0220,750,Standard,1,10000,14,Occupied
ROOM000209,HOT0171,882,Executive,4,5000,1,Occupied
ROOM000210,HOT0231,450,Suite,4,5000,3,Available
ROOM000211,HOT0110,703,Presidential,2,10000,10,Occupied
ROOM000212,HOT0154,254,Suite,3,5000,7,Occupied
ROOM000213,HOT0144,403,Family,2,2500,8,Occupied
ROOM000214,HOT0069,802,Deluxe,5,3500,11,Available
ROOM000215,HOT0176,789,Family,6,10000,7,Maintenance
ROOM000216,HOT0206,273,Suite,2,15000,11,Occupied
ROOM000217,HOT0042,365,Executive,1,5000,2,Available
ROOM000218,HOT0079,401,Family,5,15000,1,Occupied
ROOM000219,HOT0022,189,Deluxe,3,2500,13,Occupied
ROOM000220,HOT0001,735,Family,3,3500,4,Available
ROOM000221,HOT0127,309,Suite,4,3500,6,Occupied
ROOM000222,HOT0063,717,Deluxe,6,15000,7,Occupied
ROOM000223,HOT0033,315,Deluxe,5,10000,11,Occupied
ROOM000224,HOT0223,456,Deluxe,5,15000,8,Available
ROOM000225,HOT0131,464,Standard,1,7000,13,Available
ROOM000226,HOT0162,908,Presidential,6,3500,6,Available
ROOM000227,HOT0191,339,Deluxe,2,10000,9,Occupied
ROOM000228,HOT0017,210,Presidential,3,3500,2,Maintenance
ROOM000229,HOT0064,836,Presidential,1,3500,12,Occupied
ROOM000230,HOT0073,635,Executive,2,7000,4,Occupied
ROOM000231,HOT0107,881,Deluxe,4,15000,9,Available
ROOM000232,HOT0025,534,Presidential,6,7000,4,Occupied
ROOM000233,HOT0128,813,Suite,4,7000,3,Occupied
ROOM000234,HOT0160,442,Executive,2,3500,4,Available
ROOM000235,HOT0181,178,Presidential,2,2500,10,Maintenance
ROOM000236,HOT0178,978,Executive,6,10000,14,Occupied
ROOM000237,HOT0018,641,Standard,5,5000,4,Available
ROOM000238,HOT0237,958,Presidential,6,3500,1,Maintenance
ROOM000239,HOT0046,993,Standard,2,7000,13,Occupied
ROOM000240,HOT0157,998,Deluxe,1,5000,1,Occupied
ROOM000241,HOT0096,344,Executive,6,10000,1,Available
ROOM000242,HOT0199,330,Family,4,10000,5,Maintenance
ROOM000243,HOT0059,484,Deluxe,5,15000,4,Available
ROOM000244,HOT0186,472,Family,4,10000,2,Occupied
ROOM000245,HOT0054,879,Suite,1,7000,3,Available
ROOM000246,HOT0005,942,Deluxe,3,2500,5,Available
ROOM000247,HOT0076,527,Executive,6,15000,15,Maintenance
ROOM000248,HOT0196,110,Deluxe,2,10000,6,Maintenance
ROOM000249,HOT0219,801,Deluxe,4,2500,2,Available
ROOM000250,HOT0137,965,Deluxe,3,2500,9,Maintenance
ROOM000251,HOT0235,383,Executive,3,3500,14,Maintenance
ROOM000252,HOT0100,364,Standard,3,2500,12,Available
ROOM000253,HOT0175,748,Standard,2,2500,8,Available
ROOM000254,HOT0038,972,Family,6,7000,5,Available
ROOM000255,HOT0146,890,Deluxe,5,10000,13,Maintenance
ROOM000256,HOT0063,264,Presidential,4,15000,2,Occupied
ROOM000257,HOT0004,327,Suite,2,10000,7,Maintenance
ROOM000258,HOT0029,297,Deluxe,1,5000,7,Occupied
ROOM000259,HOT0230,298,Standard,2,10000,7,Maintenance
ROOM000260,HOT0020,586,Standard,6,10000,12,Occupied
ROOM000261,HOT0075,829,Standard,4,5000,8,Maintenance
ROOM000262,HOT0191,314,Presidential,3,2500,12,Available
ROOM000263,HOT0149,658,Family,1,3500,5,Maintenance
ROOM000264,HOT0147,812,Deluxe,3,7000,5,Occupied
ROOM000265,HOT0156,707,Suite,3,-2500,3,Maintenance
ROOM000266,HOT0166,202,Presidential,2,3500,13,Maintenance
ROOM000267,HOT0044,240,Deluxe,4,7000,14,Available
ROOM000268,HOT0158,974,Presidential,4,15000,1,Occupied
ROOM000269,HOT0071,148,Deluxe,2,2500,11,Maintenance
ROOM000270,HOT0241,236,Presidential,6,10000,8,Maintenance
ROOM000271,HOT0082,260,Presidential,2,7000,1,Maintenance
ROOM000272,HOT0142,106,Presidential,6,7000,4,Occupied
ROOM000273,HOT0225,311,Family,5,10000,2,Occupied
ROOM000274,HOT0215,584,Executive,2,5000,15,Maintenance
ROOM000275,HOT0079,400,Deluxe,3,15000,2,Available
ROOM000276,HOT0148,879,Suite,1,3500,6,Occupied
ROOM000277,HOT0090,984,Deluxe,3,2500,1,Maintenance
ROOM000278,HOT0009,190,Standard,6,10000,3,Occupied
ROOM000279,HOT0096,100,Standard,6,3500,12,Maintenance
ROOM000280,HOT0171,829,Standard,3,2500,2,Available
ROOM000281,HOT0121,180,Executive,1,3500,13,Available
ROOM000282,HOT0023,716,Presidential,3,2500,12,Maintenance
ROOM000283,HOT0136,789,Family,3,3500,4,Available
ROOM000284,HOT0007,384,Family,2,15000,5,Available
ROOM000285,HOT0110,774,Suite,6,2500,11,Available
ROOM000286,HOT0234,601,Executive,6,5000,6,Occupied
ROOM000287,HOT0073,703,Family,2,15000,1,Maintenance
ROOM000288,HOT0245,170,Presidential,6,7000,12,Available
ROOM000289,HOT0145,737,Family,2,3500,7,Available
ROOM000290,HOT0123,862,Deluxe,5,3500,11,Available
ROOM000291,HOT0067,991,Family,5,2500,3,Available
ROOM000292,HOT0135,470,Presidential,4,10000,7,Occupied
ROOM000293,HOT0044,265,Deluxe,2,15000,11,Available
ROOM000294,HOT0076,100,Suite,2,10000,2,Available
ROOM000295,HOT0215,519,Executive,4,3500,6,Available
ROOM000296,HOT0068,190,Deluxe,6,3500,1,Available
ROOM000297,HOT0103,812,Standard,6,15000,9,Available
ROOM000298,HOT0089,552,Family,5,3500,12,Occupied
ROOM000299,HOT0122,649,Executive,5,-10000,4,Occupied
ROOM000300,HOT0038,450,Standard,5,15000,2,Occupied
ROOM000301,HOT0128,844,Executive,4,7000,3,Occupied
ROOM000302,HOT0010,880,Executive,2,7000,10,Maintenance
ROOM000303,HOT0237,330,Suite,2,3500,3,Available
ROOM000304,HOT0202,676,Standard,6,2500,3,Available
ROOM000305,HOT0243,655,Suite,2,10000,4,Maintenance
ROOM000306,HOT0052,659,Presidential,1,3500,13,Available
ROOM000307,HOT0172,534,Deluxe,2,5000,8,Occupied
ROOM000308,HOT0073,440,Suite,2,2500,15,Available
ROOM000309,HOT0026,149,Executive,2,15000,14,Maintenance
ROOM000310,HOT0032,141,Family,2,3500,7,Occupied
ROOM000311,HOT0235,169,Family,5,7000,5,Available
ROOM000312,HOT0034,255,Presidential,6,15000,12,Occupied
ROOM000313,HOT0202,243,Presidential,6,10000,2,Available
ROOM000314,HOT0246,162,Presidential,4,2500,10,Maintenance
ROOM000315,HOT0115,402,Deluxe,4,10000,1,Occupied
ROOM000316,HOT0031,187,,3,15000,15,Available
ROOM000317,HOT0076,645,Executive,4,10000,12,Available
ROOM000318,HOT0028,259,Deluxe,1,15000,3,Maintenance
ROOM000319,HOT0030,733,Deluxe,2,15000,11,Maintenance
ROOM000320,HOT0021,534,Suite,6,10000,14,Available
ROOM000321,HOT0224,726,Standard,2,7000,15,Maintenance
ROOM000322,HOT0038,755,Deluxe,5,15000,4,Available
ROOM000323,HOT0228,618,Executive,2,15000,6,Occupied
ROOM000324,HOT0007,748,Presidential,1,2500,4,Available
ROOM000325,HOT0033,817,Presidential,4,5000,7,Available
ROOM000326,HOT0132,849,Deluxe,6,15000,2,Available
ROOM000327,HOT0166,688,Standard,3,5000,9,Available
ROOM000328,HOT0021,231,Suite,3,10000,5,Occupied
ROOM000329,HOT0191,660,Family,4,7000,11,Available
ROOM000330,HOT0062,234,Standard,3,10000,9,Occupied
ROOM000331,HOT0160,748,Suite,5,2500,5,Available
ROOM000332,HOT0115,656,Deluxe,5,7000,4,Occupied
ROOM000333,HOT0156,912,Deluxe,3,2500,13,Available
ROOM000334,HOT0136,578,Family,3,10000,2,Maintenance
ROOM000335,HOT0056,799,Presidential,3,7000,14,Occupied
ROOM000336,HOT0198,605,Standard,4,7000,1,Occupied
ROOM000337,HOT0081,145,Deluxe,1,10000,14,Occupied
ROOM000338,HOT0215,993,Executive,2,15000,8,Maintenance
ROOM000339,HOT0217,172,Deluxe,6,2500,9,Occupied
ROOM000340,HOT0096,221,Presidential,1,15000,9,Maintenance
ROOM000341,HOT0048,173,Family,3,3500,9,Maintenance
ROOM000342,HOT0242,158,Executive,3,5000,5,Available
ROOM000343,HOT0229,441,Executive,4,2500,14,Available
ROOM000344,HOT0220,104,Executive,1,15000,1,Maintenance
ROOM000345,HOT0173,556,Deluxe,5,10000,14,Available
ROOM000346,HOT0045,769,Suite,1,3500,3,Occupied
ROOM000347,HOT0117,638,Deluxe,3,2500,11,Occupied
ROOM000348,HOT0108,164,Suite,5,7000,13,Occupied
ROOM000349,HOT0222,491,Presidential,4,15000,1,Occupied
ROOM000350,HOT0118,493,Executive,1,2500,10,Available
ROOM000351,HOT0052,756,Suite,1,10000,1,Maintenance
ROOM000352,HOT0115,365,Presidential,4,3500,1,Maintenance
ROOM000353,HOT0067,230,Family,1,3500,10,Maintenance
ROOM000354,HOT0171,604,Standard,2,2500,8,Available
ROOM000355,HOT0192,802,Family,4,10000,2,Occupied
ROOM000356,HOT0188,627,Presidential,3,5000,10,Available
ROOM000357,HOT0083,859,Family,1,-3500,1,Occupied
ROOM000358,HOT0143,691,Family,1,10000,2,Available
ROOM000359,HOT0114,657,Family,4,15000,6,Available
ROOM000360,HOT0154,209,Standard,4,2500,12,Occupied
ROOM000361,HOT0079,628,Executive,6,5000,3,Available
ROOM000362,HOT0103,959,Suite,2,10000,5,Occupied
ROOM000363,HOT0228,852,Presidential,3,2500,15,Maintenance
ROOM000364,HOT0008,300,Deluxe,4,5000,2,Available
ROOM000365,HOT0123,459,Presidential,2,3500,7,Maintenance
ROOM000366,HOT0037,668,Suite,2,5000,9,Maintenance
ROOM000367,HOT0207,347,Suite,4,10000,1,Occupied
ROOM000368,HOT0019,743,Standard,4,10000,5,Maintenance
ROOM000369,HOT0246,842,Family,2,2500,1,Maintenance
ROOM000370,HOT0250,994,Standard,5,15000,9,Maintenance
ROOM000371,HOT0129,734,Standard,4,15000,8,Maintenance
ROOM000372,HOT0141,276,Presidential,5,7000,8,Occupied
ROOM000373,HOT0103,212,Family,3,15000,10,Occupied
ROOM000374,HOT0171,283,Executive,1,10000,7,Occupied
ROOM000375,HOT0154,408,Presidential,3,5000,7,Maintenance
ROOM000376,HOT0187,593,Executive,1,5000,5,Maintenance
ROOM000377,HOT0092,896,Deluxe,6,7000,4,Occupied
ROOM000378,HOT0209,132,Family,2,10000,9,Maintenance
ROOM000379,HOT0156,930,Presidential,4,3500,4,Available
ROOM000380,HOT0083,570,Deluxe,2,7000,6,Occupied
ROOM000381,HOT0127,961,Deluxe,1,7000,13,Occupied
ROOM000382,HOT0130,172,Family,6,-10000,4,Available
ROOM000383,HOT0205,906,Suite,2,2500,1,Occupied
ROOM000384,HOT0143,383,Family,4,15000,10,Available
ROOM000385,HOT0148,514,Standard,2,5000,15,Available
ROOM000386,HOT0193,714,Presidential,1,2500,14,Maintenance
ROOM000387,HOT0053,943,Presidential,4,2500,11,Available
ROOM000388,HOT0213,936,Executive,3,5000,12,Occupied
ROOM000389,HOT0241,365,Presidential,3,15000,13,Available
ROOM000390,HOT0156,952,Presidential,3,7000,6,Maintenance
ROOM000391,HOT0078,921,Executive,3,5000,6,Maintenance
ROOM000392,HOT0182,322,Presidential,2,7000,13,Available
ROOM000393,HOT0068,677,Family,1,5000,12,Available
ROOM000394,HOT0248,355,Standard,2,5000,8,Maintenance
ROOM000395,HOT0076,483,Standard,5,5000,9,Occupied
ROOM000396,HOT0157,471,Deluxe,6,7000,11,Available
ROOM000397,HOT0073,230,Executive,2,7000,12,Maintenance
ROOM000398,HOT0152,771,Family,3,15000,11,Maintenance
ROOM000399,HOT0100,476,Deluxe,3,7000,9,Available
ROOM000400,HOT0202,963,Deluxe,3,2500,13,Maintenance
ROOM000401,HOT0011,893,Suite,3,2500,6,Occupied
ROOM000402,HOT0234,319,Family,6,15000,12,Available
ROOM000403,HOT0225,459,Executive,5,3500,7,Maintenance
ROOM000404,HOT0137,378,Family,4,5000,4,Occupied
ROOM000405,HOT0250,443,Presidential,6,7000,5,Maintenance
ROOM000406,HOT0078,400,Executive,5,10000,10,Maintenance
ROOM000407,HOT0132,610,Presidential,2,3500,3,Occupied
ROOM000408,HOT0104,163,Family,1,3500,6,Available
ROOM000409,HOT0114,248,Deluxe,4,5000,3,Occupied
ROOM000410,HOT0104,311,Family,5,10000,15,Available
ROOM000411,HOT0044,675,Deluxe,3,15000,13,Maintenance
ROOM000412,HOT0001,418,Deluxe,1,2500,14,Available
ROOM000413,HOT0162,695,Standard,6,-7000,8,Maintenance
ROOM000414,HOT0118,152,Suite,5,3500,8,Maintenance
ROOM000415,HOT0035,989,Presidential,6,10000,1,Occupied
ROOM000416,HOT0031,328,Suite,1,5000,11,Available
ROOM000417,HOT0151,109,Deluxe,4,15000,8,Occupied
ROOM000418,HOT0135,423,,2,15000,6,Occupied
ROOM000419,HOT0168,384,Family,1,5000,14,Available
ROOM000420,HOT0185,644,Deluxe,3,3500,15,Available
ROOM000421,HOT0085,402,Suite,5,10000,9,Available
ROOM000422,HOT0172,105,Family,3,5000,2,Occupied
ROOM000423,HOT0069,487,Family,1,5000,12,Maintenance
ROOM000424,HOT0115,636,Family,6,2500,10,Occupied
ROOM000425,HOT0236,896,Standard,6,2500,3,Occupied
ROOM000426,HOT0018,200,Suite,1,2500,4,Maintenance
ROOM000427,HOT0199,951,Family,1,7000,3,Maintenance
ROOM000428,HOT0118,862,Family,1,10000,4,Maintenance
ROOM000429,HOT0230,251,Presidential,6,7000,8,Available
ROOM000430,HOT0066,761,Suite,3,15000,15,Available
ROOM000431,HOT0056,280,Suite,3,2500,15,Available
ROOM000432,HOT0042,302,Deluxe,3,3500,4,Maintenance
ROOM000433,HOT0244,319,Standard,1,5000,3,Maintenance
ROOM000434,HOT0165,935,Suite,3,5000,12,Occupied
ROOM000435,HOT0003,301,Standard,3,7000,1,Maintenance
ROOM000436,HOT0211,734,Deluxe,2,7000,6,Available
ROOM000437,HOT0061,573,Presidential,2,3500,11,Available
ROOM000438,HOT0063,532,Suite,2,10000,13,Occupied
ROOM000439,HOT0163,824,Suite,2,10000,5,Available
ROOM000440,HOT0049,583,Executive,2,5000,4,Maintenance
ROOM000441,HOT0084,367,Standard,6,2500,6,Available
ROOM000442,HOT0075,759,Suite,1,2500,5,Occupied
ROOM000443,HOT0049,953,Family,3,7000,4,Maintenance
ROOM000444,HOT0111,162,Deluxe,4,10000,9,Occupied
ROOM000445,HOT0175,400,Family,6,10000,4,Available
ROOM000446,HOT0128,455,Family,6,5000,2,Maintenance
ROOM000447,HOT0167,656,Suite,3,7000,2,Maintenance
ROOM000448,HOT0038,841,Presidential,1,10000,9,Available
ROOM000449,HOT0035,920,Suite,4,2500,2,Occupied
ROOM000450,HOT0173,661,Suite,4,5000,4,Occupied
